semester,sex,course_grade
2000-1,Man,76.2564
2000-1,Man,75.3882
2000-1,Man,67.0564
2000-1,Man,63.4538
2000-1,Man,72.3949
2000-1,Man,71.4128
2000-1,Man,56.0949
2000-1,Man,78.0103
2000-1,Woman,82.9026
2000-1,Man,89.0846
2000-1,Man,72.9769
2000-1,Man,82.5282
2000-1,Man,69.9872
2000-1,Man,67.7256
2000-1,Woman,80.3051
2000-1,Man,74.8744
2000-1,Man,71.1615
2000-1,Man,76.5615
2000-1,Woman,56.9903
2000-1,Man,80.8026
2000-1,Woman,69.4308
2000-1,Woman,92.0051
2000-1,Man,67.9051
2000-1,Man,79.7872
2000-1,Man,67.1256
2000-1,Woman,58.6308
2000-1,Man,67.8308
2000-1,Woman,77.6903
2000-1,Man,69.9308
2000-1,Man,69.6769
2000-1,Man,68.0923
2000-1,Man,60.3128
2000-1,Man,72.3821
2000-1,Man,67.4787
2000-1,Man,66.2364
2000-1,Man,83.3231
2000-1,Woman,77.6436
2000-1,Woman,70.9462
2000-1,Man,86.0133
2000-1,Man,72.0269
2000-1,Man,77.0282
2000-1,Man,68.2821
2000-1,Man,43.2733
2000-1,Man,70.1031
2000-1,Man,65.0846
2000-1,Man,68.6538
2000-1,Woman,83.0508
2000-1,Man,75.0856
2000-1,Man,74.4718
2000-1,Woman,74.4821
2000-1,Man,77.9526
2000-2,Man,78.7554
2000-2,Man,69.0228
2000-2,Man,68.6502
2000-2,Man,73.6702
2000-2,Woman,69.7842
2000-2,Man,84.1474
2000-2,Man,49.1931
2000-2,Man,73.9116
2000-2,Man,68.5425
2000-2,Woman,81.2088
2000-2,Man,80.5554
2000-2,Man,68.7839
2000-2,Man,65.3088
2000-2,Man,79.6035
2000-2,Man,58.4316
2000-2,Woman,76.6842
2000-2,Man,67.5625
2000-2,Man,74.573
2000-2,Man,87.0288
2000-2,Man,65.3947
2000-2,Man,59.8863
2000-2,Man,73.5435
2000-2,Man,58.3828
2000-2,Man,79.2354
2000-2,Man,71.3228
2000-2,Man,65.5295
2000-2,Man,81.4474
2000-2,Woman,62.8842
2000-2,Man,69.4702
2000-2,Woman,61.8263
2000-2,Man,70.0947
2000-2,Man,68.0404
2000-2,Woman,83.5193
2000-2,Man,59.0386
2000-2,Woman,65.0204
2001-1,Man,85.5
2001-1,Man,75.7333
2001-1,Man,86.5833
2001-1,Man,77.2833
2001-1,Man,73.6333
2001-1,Man,91.8585
2001-1,Man,62.9555
2001-1,Man,72.76
2001-1,Man,60.6167
2001-1,Man,70.0067
2001-1,Man,97.5667
2001-1,Man,73.2833
2001-1,Man,75.1167
2001-1,Man,69.7
2001-1,Man,88.8667
2001-1,Man,72.9
2001-1,Man,80.3267
2001-1,Man,76.2
2001-1,Man,70.7442
2001-1,Man,85.97
2001-1,Man,72.5267
2001-1,Man,57
2001-1,Man,83.8685
2001-1,Woman,68.25
2001-1,Man,80.06
2001-1,Man,77.0333
2001-1,Man,84.17
2001-1,Woman,70.9333
2001-1,Man,79.9867
2001-1,Man,89.8033
2001-1,Man,85.7367
2001-1,Man,78.1222
2001-1,Man,75.0333
2001-1,Woman,74.2167
2001-1,Woman,73.9833
2001-1,Woman,66.6958
2001-1,Woman,74.9888
2001-1,Man,75.7
2001-2,Man,47.9
2001-2,Man,48.05
2001-2,Woman,86.65
2001-2,Man,55.95
2001-2,Man,77.825
2001-2,Man,56.725
2001-2,Man,58.375
2001-2,Man,56.075
2001-2,Man,78.5
2001-2,Man,64.7
2001-2,Woman,68.325
2001-2,Man,73.5
2001-2,Man,75.55
2001-2,Man,68.35
2001-2,Man,81.75
2001-2,Man,70.425
2001-2,Man,80.5
2001-2,Woman,66
2001-2,Man,74.875
2001-2,Woman,88.225
2001-2,Man,82.575
2001-2,Man,64.025
2001-2,Man,84.15
2001-2,Man,53.075
2001-2,Woman,81.55
2001-2,Man,63.525
2001-2,Woman,69.125
2001-2,Man,54.5
2001-2,Woman,76.1
2001-2,Man,60.3
2001-2,Man,57.6
2001-2,Man,60.325
2001-2,Man,76.75
2001-2,Man,75.775
2001-2,Man,76.425
2001-2,Man,53
2001-2,Man,84.65
2002-1,Man,77.1197
2002-1,Man,61.7972
2002-1,Man,73.5563
2002-1,Man,69.9459
2002-1,Woman,80.5324
2002-1,Man,62.4331
2002-1,Man,82.2
2002-1,Woman,86.7901
2002-1,Man,59.8218
2002-1,Man,69.0648
2002-1,Man,78.2085
2002-1,Man,84.0577
2002-1,Woman,69.211
2002-1,Man,78.931
2002-1,Woman,58.2606
2002-1,Man,72.1352
2002-1,Man,61.7713
2002-1,Man,60.7915
2002-1,Man,64.5225
2002-1,Man,80.3761
2002-1,Man,67.6535
2002-1,Man,65.1831
2002-1,Man,73.5972
2002-1,Woman,91.4868
2002-1,Man,73.0634
2002-1,Man,70.0746
2002-1,Man,88.431
2002-1,Man,77.3507
2002-1,Man,73.5648
2002-1,Man,73.1493
2002-1,Man,64.669
2002-1,Man,71.9845
2002-1,Man,67.7986
2002-1,Man,74.9276
2002-1,Man,63.7651
2002-1,Man,73.7346
2003-1,Woman,59.5549
2003-1,Woman,65.2202
2003-1,Woman,72.367
2003-1,Man,74.112
2003-1,Man,70.4423
2003-1,Man,46.7231
2003-1,Man,69.103
2003-1,Man,53.9348
2003-1,Man,68.5149
2003-1,Man,79.881
2003-1,Woman,82.3626
2003-1,Man,48.5152
2003-1,Man,80.3655
2003-1,Woman,80.3527
2003-1,Man,70.3606
2003-1,Man,93.3003
2003-1,Man,61.1081
2003-1,Man,87.6431
2003-1,Man,87.9477
2003-1,Woman,67.9143
2003-1,Man,86.2788
2003-1,Woman,59.8701
2003-1,Man,76.4304
2003-1,Man,56.3211
2003-1,Man,83.2086
2003-1,Man,68.0731
2003-1,Man,70.5416
2003-1,Man,66.1202
2003-1,Woman,90.719
2003-1,Man,77.534
2003-1,Man,74.5553
2003-1,Man,85.5208
2003-1,Woman,83.6959
2003-1,Man,72.1189
2003-1,Man,67.1996
2003-1,Man,66.4035